market,week_start,total_spend,search_spend,social_spend,display_spend,video_spend,brand_search,revenue
market_alpha,2021-08-02,48592.12,17330.19,12244.5,10735.08,8282.35,48.88,382139.06
market_alpha,2021-08-09,42779.79,15227.32,10527.6,9329.7,7695.17,59.55,330758.78
market_alpha,2021-08-16,43356.46,15256.89,10150.42,9904.91,8044.24,61.38,339480.49
market_alpha,2021-08-23,41561.66,14544.69,9897.27,9507.62,7612.08,71.16,363759.42
market_alpha,2021-08-30,34669.77,11380.99,9301.8,7862.41,6124.57,61.85,426971.56
market_alpha,2021-09-06,17346.5,6230.89,4300.55,3953.04,2862.02,67.51,404323.02
market_alpha,2021-09-13,26413.62,9092.7,7073.34,5775.69,4471.88,66.7,426148.7
market_alpha,2021-09-20,25811.17,9548.9,6345.82,5372.62,4543.83,51.65,426971.96
market_alpha,2021-09-27,35136.31,12106.44,8873.01,7827.2,6329.66,41.52,396450.07
market_alpha,2021-10-04,39898.39,13642.8,10325.82,8625.79,7303.98,49.16,273110.97
market_alpha,2021-10-11,41899.79,15552.6,9850.3,9358.73,7138.16,56.64,283446.01
market_alpha,2021-10-18,31684.75,10607.22,7744.68,7421.22,5911.63,59.36,352554.74
market_alpha,2021-10-25,33755.19,12259.11,8467.83,7496.46,5531.79,65.1,362786.96
market_alpha,2021-11-01,38991.67,12889.46,10094.95,8449.32,7557.94,62.54,421247.49
market_alpha,2021-11-08,27088.25,8851.89,6797.31,6008.35,5430.7,56.76,397790.94
market_alpha,2021-11-15,30097.5,10199.47,7571.04,7032.62,5294.36,60.99,379439.06
market_alpha,2021-11-22,27514.45,10142.82,6306.93,6296.89,4767.81,62.94,385553.87
market_alpha,2021-11-29,30900.67,10898.12,7754.54,6436.5,5811.52,51.07,383104.33
market_alpha,2021-12-06,34348.36,11538.72,8332.23,7884.51,6592.91,49.05,375741.41
market_alpha,2021-12-13,33020.96,11515.43,7821.6,8024.49,5659.43,50.33,342426.95
market_alpha,2021-12-20,42369.47,14571.19,10758.9,9529.89,7509.49,54.33,314351.55
market_alpha,2021-12-27,45706.34,16895.48,10918.14,9792.75,8099.96,58.91,337399.34
market_alpha,2022-01-03,51053.35,18701.77,12791.28,10535.09,9025.21,64.41,366031.58
market_alpha,2022-01-10,50328.32,17723.28,12490.99,10826.63,9287.42,63.91,383537.3
market_alpha,2022-01-17,39638.34,13789.81,9379.42,9099.65,7369.45,67.08,407793.11
market_alpha,2022-01-24,44787.44,16541.12,11372.64,8902.66,7971.01,75.2,411694.4
market_alpha,2022-01-31,45107.48,16324.31,11063.11,9164.86,8555.19,68.21,446592.13
market_alpha,2022-02-07,57645.08,21743.21,15364.02,11271.43,9266.43,59.11,467634.4
market_alpha,2022-02-14,57332.71,20170.46,14972.28,11547.67,10642.3,63.34,400384.48
market_alpha,2022-02-21,59152.28,20781.84,14566.08,13388.93,10415.43,65.6,403633.1
market_alpha,2022-02-28,64026.02,22793.74,15218.42,14895.33,11118.53,69.91,406640.52
market_alpha,2022-03-07,59014.52,20549.12,14699.31,13487.01,10279.08,68.78,401425.61
market_alpha,2022-03-14,48828.18,17166.35,11458.28,11429.5,8774.07,76.87,419554.74
market_alpha,2022-03-21,50010.17,17929.25,11910.85,11785.14,8384.93,80.45,457289.11
market_alpha,2022-03-28,55263.72,17767.07,14723.01,13070.62,9703.02,71.59,473496.23
market_alpha,2022-04-04,59935.39,20089.93,15666.76,13315.17,10863.54,67.49,475130.65
market_alpha,2022-04-11,74071.6,24582.21,19601.14,16824.4,13063.85,67.42,431805.04
market_alpha,2022-04-18,67355.48,23693.04,17043.78,15147.35,11471.31,76.26,443429.52
market_alpha,2022-04-25,75851.12,28989.85,17968.19,15896.96,12996.11,81.46,458823.32
market_alpha,2022-05-02,58571.71,20356.63,14471.73,12577.42,11165.93,84.3,505670.06
market_alpha,2022-05-09,59091.48,20639.97,15253.48,12614.31,10583.71,79.61,488769.97
market_alpha,2022-05-16,52503.55,18610.58,12602.45,12304.06,8986.46,82.17,539246.44
market_alpha,2022-05-23,45829.76,15915.2,11368.06,10410.88,8135.61,75.29,504891.79
market_alpha,2022-05-30,37595.25,13210.07,9106.39,7925.82,7352.97,80.48,479009.2
market_alpha,2022-06-06,30972.48,10653.13,7833.02,6979.09,5507.24,62.3,503005.53
market_alpha,2022-06-13,45881.06,16515.23,11084.59,9735.85,8545.39,58.41,448083.87
market_alpha,2022-06-20,33446.9,11570.25,8981.83,7133.96,5760.86,52.68,360243.53
market_alpha,2022-06-27,32236.72,9929.46,8569.29,7510.54,6227.44,58.47,363483.64
market_alpha,2022-07-04,28937.23,10486.51,6930.87,6484.3,5035.54,54.86,357927.26
market_alpha,2022-07-11,33211.34,11995.43,7800.82,7571.99,5843.09,52.87,406888.64
market_alpha,2022-07-18,25911.68,8830.77,6274.85,5900.97,4905.1,56.74,321031.9
market_alpha,2022-07-25,22501.52,7933.2,5936.73,4878.39,3753.2,51.43,352016.13
market_alpha,2022-08-01,30987.0,10983.7,7770.81,6841.54,5390.94,52.23,337555.19
market_alpha,2022-08-08,33365.1,11397.94,8841.44,6941.34,6184.37,43.87,340751.37
market_alpha,2022-08-15,29206.79,10575.74,7432.19,6290.47,4908.39,51.22,300664.91
market_alpha,2022-08-22,36312.66,12914.11,9275.7,7829.6,6293.25,54.9,287858.12
market_alpha,2022-08-29,39169.3,13421.66,10068.35,8758.34,6920.94,53.67,332582.14
market_alpha,2022-09-05,37110.29,12694.88,9370.84,8494.42,6550.15,49.42,389952.43
market_alpha,2022-09-12,27914.37,9888.84,7160.6,6157.5,4707.43,63.15,333527.04
market_alpha,2022-09-19,31850.87,10815.93,8519.56,6979.15,5536.23,64.24,369693.59
market_alpha,2022-09-26,32072.59,10711.22,8072.63,7569.85,5718.88,54.87,415924.57
market_alpha,2022-10-03,42552.58,15405.79,10829.03,8940.61,7377.16,50.29,371817.04
market_alpha,2022-10-10,37029.98,12225.51,9570.33,8618.59,6615.56,56.0,338460.15
market_alpha,2022-10-17,38940.55,13790.57,9494.03,8572.36,7083.58,56.76,342949.97
market_alpha,2022-10-24,33086.29,10984.56,8494.85,7349.65,6257.23,61.46,347540.7
market_alpha,2022-10-31,47180.66,16313.07,12586.72,9932.18,8348.68,61.36,393369.97
market_alpha,2022-11-07,37657.41,12586.09,9407.81,8471.09,7192.42,54.43,419155.93
market_alpha,2022-11-14,45796.16,15450.2,11379.61,10594.46,8371.89,58.18,364965.47
market_alpha,2022-11-21,56234.26,19952.55,14454.92,12485.15,9341.64,57.94,382105.84
market_alpha,2022-11-28,37991.94,13345.93,10121.76,7981.54,6542.71,65.33,366686.06
market_alpha,2022-12-05,29540.81,10059.56,7567.11,6244.84,5669.31,71.02,404836.32
market_alpha,2022-12-12,31137.04,11000.63,8113.91,6406.68,5615.82,62.51,448029.94
market_alpha,2022-12-19,26909.24,8517.25,7465.57,6312.9,4613.51,54.2,418264.29
market_alpha,2022-12-26,32397.98,11566.42,7704.98,6907.78,6218.79,55.82,402864.03
market_alpha,2023-01-02,29949.1,10941.63,7239.88,6269.62,5497.98,54.48,354271.34
market_alpha,2023-01-09,42534.44,15320.99,10770.33,8959.12,7484.0,62.52,355730.82
market_alpha,2023-01-16,46711.69,17588.13,11065.29,9958.52,8099.75,59.44,372247.61
market_alpha,2023-01-23,41189.13,14442.23,10798.98,8748.69,7199.23,63.57,388494.13
market_alpha,2023-01-30,42945.71,14245.14,10879.09,9478.42,8343.06,68.41,382806.0
market_alpha,2023-02-06,60356.65,21312.11,15746.09,12698.38,10600.08,58.46,416779.62
market_alpha,2023-02-13,58730.1,20906.15,13992.36,13216.1,10615.48,58.07,418288.56
market_alpha,2023-02-20,58854.84,20929.54,14959.36,13217.71,9748.23,69.1,388652.89
market_alpha,2023-02-27,59694.16,20991.94,13911.35,13237.7,11553.18,74.24,404771.06
market_alpha,2023-03-06,46746.33,16047.27,12298.08,10287.31,8113.67,74.02,487626.15
market_alpha,2023-03-13,58870.08,20346.83,14488.54,12921.03,11113.68,72.45,448094.33
market_alpha,2023-03-20,64251.2,20902.64,16302.38,15839.03,11207.15,69.86,464963.78
market_alpha,2023-03-27,49287.44,17911.68,12871.93,10446.41,8057.42,69.47,461522.03
market_alpha,2023-04-03,55487.32,19377.97,13406.42,12241.91,10461.01,76.66,432005.9
market_alpha,2023-04-10,48114.98,17961.14,11473.8,10296.01,8384.03,71.92,455233.74
market_alpha,2023-04-17,53156.34,17761.32,13881.8,11726.0,9787.22,71.63,462132.4
market_alpha,2023-04-24,51564.43,18186.14,12529.59,11608.97,9239.73,72.5,432410.98
market_alpha,2023-05-01,53178.89,18568.64,12986.74,12310.48,9313.03,69.84,465433.72
market_alpha,2023-05-08,35994.78,12331.11,9162.57,7993.43,6507.67,72.74,423587.34
market_alpha,2023-05-15,33459.32,11037.94,8824.61,7665.99,5930.77,65.57,454565.48
market_alpha,2023-05-22,40393.24,14373.88,9707.18,8911.29,7400.9,65.27,420316.6
market_alpha,2023-05-29,38273.3,13359.92,9642.16,8377.47,6893.76,53.45,444719.42
market_alpha,2023-06-05,42602.87,15277.22,9865.03,9851.53,7609.08,56.13,362378.15
market_alpha,2023-06-12,41026.27,14614.67,9741.84,9218.29,7451.48,65.92,356094.03
market_alpha,2023-06-19,39159.26,13939.16,9962.68,8783.83,6473.59,63.49,413364.62
market_alpha,2023-06-26,45222.37,15961.75,11563.02,9885.53,7812.07,62.53,407916.15
market_alpha,2023-07-03,51077.29,18044.15,12576.13,11331.38,9125.63,67.6,399454.75
market_alpha,2023-07-10,41279.84,14604.02,10687.19,8718.23,7270.4,66.65,392027.17
market_alpha,2023-07-17,51867.24,16626.24,13665.19,11481.14,10094.67,66.01,441922.28
market_alpha,2023-07-24,43351.41,15104.54,10662.47,9897.06,7687.33,73.17,424310.67
market_alpha,2023-07-31,42855.02,15574.13,10941.32,8761.28,7578.29,63.34,426721.29
market_alpha,2023-08-07,35107.19,12092.27,8992.42,7494.22,6528.29,61.53,423985.34
market_alpha,2023-08-14,26478.48,8773.16,7061.4,5863.53,4780.4,68.8,405389.99
market_alpha,2023-08-21,46702.68,16910.41,11564.56,10398.11,7829.61,56.77,412256.86
market_alpha,2023-08-28,23138.69,8103.52,5745.53,5187.44,4102.19,49.33,363804.28
market_alpha,2023-09-04,18508.17,6531.73,4515.95,3940.4,3520.1,62.83,346486.05
market_alpha,2023-09-11,29262.49,10287.07,7258.88,6108.16,5608.39,59.25,345267.14
market_alpha,2023-09-18,17596.2,5952.6,4326.28,4178.58,3138.74,46.11,380533.87
market_alpha,2023-09-25,21327.01,7753.75,5370.61,4899.01,3303.64,52.09,356743.78
market_alpha,2023-10-02,21156.37,8010.37,5329.51,4545.4,3271.08,47.9,318658.75
market_alpha,2023-10-09,10534.61,3733.11,2551.68,2487.18,1762.64,44.69,317435.16
market_alpha,2023-10-16,27073.55,10286.67,6530.27,5491.92,4764.69,47.56,308337.86
market_alpha,2023-10-23,35738.86,12638.97,8639.52,8398.52,6061.85,32.86,306031.8
market_alpha,2023-10-30,27049.07,9181.94,7200.71,5846.23,4820.18,44.92,264627.09
market_alpha,2023-11-06,27433.14,10107.9,6600.0,5756.72,4968.52,52.45,270243.27
market_alpha,2023-11-13,25899.62,8547.63,6824.39,5369.87,5157.73,52.61,329124.68
market_alpha,2023-11-20,30685.49,11142.36,7464.43,6455.5,5623.2,51.94,349140.23
market_alpha,2023-11-27,29954.89,10562.92,7379.81,6637.0,5375.16,52.72,337909.59
market_alpha,2023-12-04,34080.52,11519.72,8865.77,7316.3,6378.73,53.75,310440.98
market_alpha,2023-12-11,42046.47,15207.38,9804.34,9784.13,7250.62,56.28,353511.04
market_alpha,2023-12-18,38768.16,12644.32,10545.06,8557.23,7021.55,55.46,346685.13
market_alpha,2023-12-25,36273.14,12467.96,9389.24,8181.55,6234.39,60.29,353610.61
market_beta,2021-01-04,28078.09,7774.41,8682.19,6593.63,5027.85,25.96,28668.53
market_beta,2021-01-11,17576.89,4738.67,5356.05,4439.69,3042.48,26.17,116388.04
market_beta,2021-01-18,30013.26,7452.36,9365.33,7657.04,5538.53,39.96,131243.47
market_beta,2021-01-25,25970.82,7776.69,7578.89,5828.36,4786.89,46.66,202579.59
market_beta,2021-02-01,20207.47,5634.59,6359.83,4879.64,3333.41,41.06,249669.49
market_beta,2021-02-08,27378.72,7621.04,8687.98,5962.42,5107.28,47.68,233006.17
market_beta,2021-02-15,26255.31,6986.69,8221.45,6397.11,4650.06,38.51,254050.97
market_beta,2021-02-22,34473.37,9275.65,9781.15,8686.84,6729.72,45.46,227906.02
market_beta,2021-03-01,42831.05,12008.04,13232.64,10158.44,7431.93,47.61,229268.22
market_beta,2021-03-08,49147.9,13907.79,14092.03,11606.93,9541.16,49.76,255202.14
market_beta,2021-03-15,39730.67,11396.97,11571.46,9425.2,7337.03,56.25,264295.48
market_beta,2021-03-22,40194.67,10765.83,12680.77,9306.82,7441.25,61.25,285251.89
market_beta,2021-03-29,42490.63,12253.35,12319.74,10135.34,7782.21,58.6,303909.11
market_beta,2021-04-05,42012.38,11733.74,12888.93,10359.44,7030.27,52.82,308290.15
market_beta,2021-04-12,40036.04,10775.87,11289.13,10526.29,7444.75,59.32,281525.26
market_beta,2021-04-19,37997.22,10609.27,11016.03,9188.67,7183.25,53.68,314769.26
market_beta,2021-04-26,32811.64,9358.94,10022.5,7271.32,6158.87,57.93,279049.74
market_beta,2021-05-03,35258.47,9890.19,11072.3,8558.35,5737.64,55.54,289196.27
market_beta,2021-05-10,34889.06,9465.32,10921.48,8031.26,6471.0,51.33,295890.44
market_beta,2021-05-17,39735.48,11359.45,11684.73,9905.0,6786.3,50.14,270314.54
market_beta,2021-05-24,33849.93,10289.29,9211.21,8282.56,6066.87,50.84,263656.65
market_beta,2021-05-31,31150.64,8858.11,8980.83,7828.79,5482.9,56.58,265610.36
market_beta,2021-06-07,28915.35,7892.11,8856.97,6694.95,5471.32,55.81,283400.86
market_beta,2021-06-14,32652.55,9338.31,8768.78,8189.9,6355.57,46.45,304844.07
market_beta,2021-06-21,25162.15,7322.62,7121.68,6175.12,4542.73,50.2,281983.26
market_beta,2021-06-28,24413.21,6898.04,6828.14,5866.09,4820.93,50.58,260510.4
market_beta,2021-07-05,24424.71,7075.7,7429.84,5334.28,4584.87,44.01,246896.66
market_beta,2021-07-12,28058.38,7924.45,8415.86,6560.66,5157.4,46.19,247550.28
market_beta,2021-07-19,24734.1,6516.08,7637.35,6237.97,4342.71,50.96,239672.5
market_beta,2021-07-26,19461.65,5149.48,5965.07,4827.5,3519.6,44.18,253279.51
market_beta,2021-08-02,24062.25,6754.15,7501.21,5717.53,4089.36,49.21,248637.94
market_beta,2021-08-09,28137.87,7908.57,8416.68,6516.75,5295.87,39.06,253899.37
market_beta,2021-08-16,24332.72,6861.15,7437.92,5584.83,4448.83,39.6,247887.41
market_beta,2021-08-23,20247.79,5981.01,6106.1,4491.72,3668.95,39.16,210279.96
market_beta,2021-08-30,20265.34,5580.57,6071.65,5156.1,3457.02,49.29,206662.8
market_beta,2021-09-06,25352.05,7050.1,7300.61,6726.35,4274.99,42.28,239218.82
market_beta,2021-09-13,18363.18,5066.39,5835.49,4372.46,3088.84,44.2,238698.86
market_beta,2021-09-20,22054.95,6627.86,6270.39,5096.33,4060.38,47.48,224463.82
market_beta,2021-09-27,16897.63,4683.09,5067.73,3998.33,3148.48,41.04,235000.08
market_beta,2021-10-04,18927.31,5007.84,5923.74,4551.48,3444.26,43.23,237704.9
market_beta,2021-10-11,26054.03,6871.46,7723.1,6592.02,4867.45,39.67,230940.3
market_beta,2021-10-18,21383.87,6098.22,6259.87,5080.42,3945.36,37.62,214498.22
market_beta,2021-10-25,19339.14,5445.44,5922.53,4526.82,3444.35,43.63,205093.56
market_beta,2021-11-01,23638.01,6812.47,7258.29,5334.86,4232.39,49.22,218771.97
market_beta,2021-11-08,20283.81,5537.53,6020.1,5063.39,3662.79,42.78,241757.68
market_beta,2021-11-15,20414.26,5842.85,6098.32,4767.92,3705.16,43.98,231083.36
market_beta,2021-11-22,19105.02,5523.85,5659.84,4634.73,3286.6,37.63,218089.17
market_beta,2021-11-29,24014.87,6561.79,7407.32,5954.34,4091.42,38.02,220353.62
market_beta,2021-12-06,23728.13,6685.32,7222.17,5761.85,4058.79,32.28,215754.49
market_beta,2021-12-13,21730.97,6113.61,6182.06,5310.49,4124.81,37.74,176373.9
market_beta,2021-12-20,27991.63,8054.92,7564.35,7181.41,5190.94,46.0,211220.18
market_beta,2021-12-27,33670.36,9197.58,9782.29,8366.3,6324.18,42.8,237787.45
market_beta,2022-01-03,28396.86,7800.45,8830.04,6881.95,4884.42,49.11,246750.47
market_beta,2022-01-10,28924.85,7750.81,8851.3,6956.14,5366.59,53.6,235457.16
market_beta,2022-01-17,28799.36,8295.92,8571.63,6504.76,5427.05,49.14,250211.52
market_beta,2022-01-24,25790.29,7132.02,7798.63,6379.2,4480.44,44.44,281517.0
market_beta,2022-01-31,30264.3,8547.31,9388.38,7278.77,5049.84,49.15,239694.24
market_beta,2022-02-07,27168.45,7507.95,8297.2,6606.29,4757.01,51.37,268349.95
market_beta,2022-02-14,33344.77,9695.07,9719.14,8142.77,5787.78,48.11,263819.5
market_beta,2022-02-21,35920.56,10388.01,10534.57,8940.16,6057.82,52.65,267586.8
market_beta,2022-02-28,34822.32,10093.89,10688.23,8501.52,5538.69,51.27,277354.67
market_beta,2022-03-07,30038.78,8356.17,9132.36,7136.04,5414.2,50.64,274236.96
market_beta,2022-03-14,22169.51,6082.17,6917.79,5177.54,3992.01,60.69,248567.91
market_beta,2022-03-21,28829.54,7863.83,8515.64,7261.87,5188.2,54.95,306657.51
market_beta,2022-03-28,33945.69,9618.34,10344.81,8208.0,5774.55,43.72,305025.54
market_beta,2022-04-04,33584.19,9806.97,10096.34,8055.48,5625.4,51.18,268604.55
market_beta,2022-04-11,28876.64,8167.44,8864.14,6566.84,5278.22,52.85,257951.55
market_beta,2022-04-18,32968.62,9597.76,9731.14,7670.53,5969.19,48.82,255748.0
market_beta,2022-04-25,29047.24,8251.02,8603.68,6995.91,5196.63,47.87,253674.59
market_beta,2022-05-02,25445.87,6995.36,7212.57,6422.44,4815.5,54.16,272067.47
market_beta,2022-05-09,26825.61,7684.48,7845.38,6654.51,4641.24,52.16,268003.67
market_beta,2022-05-16,26810.91,6993.92,8071.87,6989.83,4755.29,45.84,266688.27
market_beta,2022-05-23,22656.11,6425.39,6926.58,5582.02,3722.12,47.05,260023.4
market_beta,2022-05-30,28359.6,7803.93,8680.15,6781.4,5094.12,49.28,241990.59
market_beta,2022-06-06,32763.22,8899.32,9588.29,8208.28,6067.34,44.48,260755.6
market_beta,2022-06-13,25638.53,7183.06,7940.52,6131.97,4382.99,48.29,225221.28
market_beta,2022-06-20,22251.31,6456.94,6247.11,5542.48,4004.79,49.38,257368.84
market_beta,2022-06-27,24858.67,6611.27,7910.73,5887.61,4449.05,40.98,274690.52
market_beta,2022-07-04,26662.87,6991.24,7693.75,6597.5,5380.38,42.91,257274.45
market_beta,2022-07-11,20702.03,5943.46,6085.12,4940.18,3733.28,48.29,222438.93
market_beta,2022-07-18,23291.36,6232.89,6841.12,5577.7,4639.65,43.73,253611.86
market_beta,2022-07-25,21525.55,6428.88,6347.74,4793.7,3955.24,42.6,245406.63
market_beta,2022-08-01,25175.14,6350.21,7850.86,6299.66,4674.42,44.23,250854.76
market_beta,2022-08-08,26318.16,7534.02,7891.57,6258.96,4633.61,37.86,212952.82
market_beta,2022-08-15,29310.95,8312.99,8912.48,6691.11,5394.37,46.28,217994.05
market_beta,2022-08-22,30780.13,8420.76,9069.18,7491.72,5798.47,48.61,232895.12
market_beta,2022-08-29,21447.04,6049.09,6238.58,5386.13,3773.24,49.73,249377.95
market_beta,2022-09-05,22397.77,5966.98,7543.14,4696.55,4191.1,46.51,234527.3
market_beta,2022-09-12,25642.73,7126.21,7767.35,6045.13,4704.04,41.92,241267.96
market_beta,2022-09-19,27772.95,7884.6,8174.51,7098.91,4614.94,41.2,224395.89
market_beta,2022-09-26,20634.56,6207.03,6103.36,4919.43,3404.73,44.79,215640.92
market_beta,2022-10-03,18696.88,5204.56,5987.95,4335.68,3168.69,44.84,227454.28
market_beta,2022-10-10,22116.52,5980.21,6668.32,5470.46,3997.53,41.57,245190.86
market_beta,2022-10-17,20349.28,5974.55,5981.41,4698.09,3695.23,41.83,221860.24
market_beta,2022-10-24,20656.35,5691.42,6271.8,4871.76,3821.37,44.13,232737.18
market_beta,2022-10-31,20362.51,6111.51,5879.41,5064.03,3307.56,44.04,216276.05
market_beta,2022-11-07,18721.85,5239.07,5377.21,4589.73,3515.83,44.38,245324.42
market_beta,2022-11-14,21313.52,6028.23,6222.27,5073.9,3989.12,38.66,234474.45
market_beta,2022-11-21,25345.52,6991.75,7263.99,6079.23,5010.55,43.12,201399.52
market_beta,2022-11-28,28756.79,8154.88,7986.62,6955.13,5660.16,42.84,226233.96
market_beta,2022-12-05,26167.67,7244.58,7486.46,6328.87,5107.76,45.53,220196.31
market_beta,2022-12-12,29339.66,8598.7,8490.84,7242.16,5007.96,42.87,242316.64
market_beta,2022-12-19,19803.06,5385.93,5957.15,4966.81,3493.17,47.64,231243.77
market_beta,2022-12-26,26092.22,7805.68,7711.61,6141.87,4433.06,50.88,230462.83
market_beta,2023-01-02,38603.73,10620.61,11863.4,9223.7,6896.02,48.8,254119.01
market_beta,2023-01-09,36171.0,9914.3,10683.7,9075.36,6497.64,42.82,262997.79
market_beta,2023-01-16,31621.37,8735.66,9689.49,7799.59,5396.62,53.19,246892.62
market_beta,2023-01-23,26891.89,7904.77,7933.37,6178.08,4875.67,56.76,247740.4
market_beta,2023-01-30,35357.92,9237.07,10801.66,8519.16,6800.04,52.39,288438.98
market_beta,2023-02-06,30829.77,9063.39,8960.9,7220.91,5584.58,51.99,285359.24
market_beta,2023-02-13,37981.57,10032.04,12090.15,9108.65,6750.73,50.62,269279.33
market_beta,2023-02-20,36021.63,10127.48,10974.6,8569.99,6349.56,49.94,265780.51
market_beta,2023-02-27,24872.1,6938.32,7364.29,5942.33,4627.16,52.54,266155.0
market_beta,2023-03-06,40807.72,11206.25,12304.42,9887.97,7409.08,55.83,246338.33
market_beta,2023-03-13,30953.35,8878.28,9487.19,7339.95,5247.93,46.77,295945.23
market_beta,2023-03-20,28367.8,8565.54,8867.85,6175.58,4758.84,49.88,269344.89
market_beta,2023-03-27,29017.27,8453.19,8918.18,6395.96,5249.94,56.61,256622.28
market_beta,2023-04-03,37726.38,10589.88,11783.67,9334.79,6018.05,48.31,261894.9
market_beta,2023-04-10,33808.12,9576.42,10391.42,8137.23,5703.06,46.34,276259.81
market_beta,2023-04-17,44025.05,11795.96,12602.14,10944.94,8682.01,53.52,241366.63
market_beta,2023-04-24,36521.56,9358.62,11065.18,9046.08,7051.68,47.51,290427.6
market_beta,2023-05-01,36788.3,10220.96,11658.77,8641.93,6266.64,56.69,268883.55
market_beta,2023-05-08,32414.39,9032.34,8929.91,8584.72,5867.42,56.83,295811.06
market_beta,2023-05-15,33342.6,9382.86,10330.09,7828.91,5800.75,52.19,308019.99
market_beta,2023-05-22,37001.81,10288.79,10909.88,8813.34,6989.79,53.67,274054.35
market_beta,2023-05-29,39640.47,11230.89,12419.21,8594.01,7396.36,50.82,288060.49
market_beta,2023-06-05,35887.52,10383.41,10348.02,8887.71,6268.38,59.45,276654.61
market_beta,2023-06-12,31698.53,8883.34,9357.62,7738.84,5718.72,54.11,290055.25
market_beta,2023-06-19,33372.05,9400.44,9873.63,8358.67,5739.3,54.35,292886.93
market_beta,2023-06-26,27530.88,7664.64,8145.84,6800.34,4920.06,47.21,290328.52
market_beta,2023-07-03,27224.58,8162.8,7816.59,6523.69,4721.5,51.54,256971.48
market_beta,2023-07-10,20708.16,5737.07,6364.21,4932.15,3674.73,46.71,249818.92
market_beta,2023-07-17,16100.5,4368.53,4640.58,4033.37,3058.01,43.59,259076.12
market_beta,2023-07-24,20248.33,5861.54,5886.9,4972.13,3527.76,38.6,240139.36
market_beta,2023-07-31,21680.94,5796.95,7138.11,5039.78,3706.09,39.26,213484.94
market_beta,2023-08-07,14641.06,3990.38,4398.99,3530.86,2720.83,41.35,202395.75
market_beta,2023-08-14,15204.85,4363.06,4372.69,3660.19,2808.91,39.88,204085.5
market_beta,2023-08-21,19783.67,5361.89,6339.3,4540.38,3542.11,39.29,240648.32
market_beta,2023-08-28,22137.37,6313.02,6749.2,5475.95,3599.19,35.91,218080.65
market_beta,2023-09-04,18758.67,5125.36,6001.29,4515.65,3116.37,41.01,207238.08
market_beta,2023-09-11,14099.7,3530.77,4329.88,3556.8,2682.24,37.21,231607.94
market_beta,2023-09-18,10530.29,2908.46,3187.0,2417.39,2017.44,39.08,221201.64
market_beta,2023-09-25,12260.45,3263.27,3788.36,2903.12,2305.69,32.23,209294.52
