week,channel,spend,impressions,kpi,brand_search_control
2024-04-22,paid_social,43048.66,5381083,112710.56,70.0
2024-04-22,paid_search,33917.13,11305709,151292.74,70.0
2024-04-22,audio,11740.54,1174054,19354.34,70.0
2024-04-29,display,71012.52,11835421,162452.35,69.1
2024-04-29,video_olv,54227.75,4518979,160237.09,69.1
2024-04-29,paid_social,42607.51,5325939,109655.34,69.1
2024-04-29,paid_search,33569.56,11189852,147191.68,69.1
2024-04-29,audio,11620.23,1162023,18829.7,69.1
2024-05-06,display,70064.23,11677372,157375.03,67.9
2024-05-06,video_olv,53503.6,4458633,155229.01,67.9
2024-05-06,paid_social,42038.54,5254818,106228.15,67.9
2024-05-06,paid_search,33121.27,11040425,142591.32,67.9
2024-05-06,audio,11465.06,1146506,18241.2,67.9
2024-05-13,display,68917.93,11486321,151853.29,66.5
2024-05-13,video_olv,52628.24,4385686,149782.57,66.5
2024-05-13,paid_social,41350.76,5168845,102500.97,66.5
2024-05-13,paid_search,32579.38,10859795,137588.29,66.5
2024-05-13,audio,11277.48,1127748,17601.18,66.5
2024-05-20,display,67591.52,11265254,145997.69,64.9
2024-05-20,video_olv,51615.35,4301279,144006.81,64.9
2024-05-20,paid_social,40554.91,5069364,98548.44,64.9
2024-05-20,paid_search,31952.36,10650786,132282.76,64.9
2024-05-20,audio,11060.43,1106043,16922.46,64.9
2024-05-27,display,66105.57,11017595,139919.5,63.0
2024-05-27,video_olv,50480.62,4206718,138011.5,63.0
2024-05-27,paid_social,39663.34,4957918,94445.66,63.0
2024-05-27,paid_search,31249.91,10416635,126775.54,63.0
2024-05-27,audio,10817.27,1081727,16217.94,63.0
2024-06-03,display,64482.93,10747155,133727.69,61.1
2024-06-03,video_olv,49241.51,4103459,131904.14,61.1
2024-06-03,paid_social,38689.76,4836220,90266.19,61.1
2024-06-03,paid_search,30482.84,10160947,121165.4,61.1
2024-06-03,audio,10551.75,1055175,15500.26,61.1
2024-06-10,display,62748.48,10458080,127526.39,58.9
2024-06-10,video_olv,47917.02,3993085,125787.39,58.9
2024-06-10,paid_social,37649.09,4706136,86080.31,58.9
2024-06-10,paid_search,29662.92,9887639,115546.64,58.9
2024-06-10,audio,10267.93,1026793,14781.47,58.9
2024-06-17,display,60928.71,10154785,121412.62,56.7
2024-06-17,video_olv,46527.38,3877281,119756.99,56.7
2024-06-17,paid_social,36557.23,4569653,81953.52,56.7
2024-06-17,paid_search,28802.66,9600887,110007.19,56.7
2024-06-17,audio,9970.15,997015,14072.83,56.7
2024-06-24,display,59051.36,9841893,115474.73,54.4
2024-06-24,video_olv,45093.76,3757814,113900.07,54.4
2024-06-24,paid_social,35430.81,4428852,77945.44,54.4
2024-06-24,paid_search,27915.19,9305062,104627.1,54.4
2024-06-24,audio,9662.95,966295,13384.57,54.4
2024-07-01,display,57145.0,9524167,109791.31,52.1
2024-07-01,video_olv,43638.0,3636500,108294.15,52.1
2024-07-01,paid_social,34287.0,4285875,74109.13,52.1
2024-07-01,paid_search,27014.0,9004667,99477.58,52.1
2024-07-01,audio,9351.0,935100,12725.81,52.1
2024-07-08,display,55238.64,9206441,104430.65,49.7
2024-07-08,video_olv,42182.24,3515186,103006.6,49.7
2024-07-08,paid_social,33143.19,4142898,70490.69,49.7
2024-07-08,paid_search,26112.81,8704271,94620.5,49.7
2024-07-08,audio,9039.05,903905,12104.46,49.7
2024-07-15,display,53361.29,8893549,99450.82,47.5
2024-07-15,video_olv,40748.62,3395719,98094.67,47.5
2024-07-15,paid_social,32016.77,4002097,67129.3,47.5
2024-07-15,paid_search,25225.34,8408446,90108.47,47.5
2024-07-15,audio,8731.85,873185,11527.25,47.5
2024-07-22,display,51541.52,8590253,94900.09,45.2
2024-07-22,video_olv,39358.98,3279915,93606.0,45.2
2024-07-22,paid_social,30924.91,3865614,64057.56,45.2
2024-07-22,paid_search,24365.08,8121694,85985.24,45.2
2024-07-22,audio,8434.07,843407,10999.78,45.2
2024-07-29,display,49807.07,8301178,90817.92,43.1
2024-07-29,video_olv,38034.49,3169541,89579.49,43.1
2024-07-29,paid_social,29884.24,3735530,61302.09,43.1
2024-07-29,paid_search,23545.16,7848386,82286.54,43.1
2024-07-29,audio,8150.25,815025,10526.62,43.1
2024-08-05,display,48184.43,8030739,87236.03,41.1
2024-08-05,video_olv,36795.38,3066282,86046.45,41.1
2024-08-05,paid_social,28910.66,3613832,58884.32,41.1
2024-08-05,paid_search,22778.09,7592698,79041.13,41.1
2024-08-05,audio,7884.73,788473,10111.45,41.1
2024-08-12,display,46698.48,7783079,84179.83,39.3
2024-08-12,video_olv,35660.65,2971721,83031.92,39.3
2024-08-12,paid_social,28019.09,3502386,56821.39,39.3
2024-08-12,paid_search,22075.64,7358548,76272.03,39.3
2024-08-12,audio,7641.57,764157,9757.21,39.3
2024-08-19,display,45372.07,7562012,81669.73,37.7
2024-08-19,video_olv,34647.76,2887314,80556.05,37.7
2024-08-19,paid_social,27223.24,3402905,55127.07,37.7
2024-08-19,paid_search,21448.62,7149539,73997.73,37.7
2024-08-19,audio,7424.52,742452,9466.26,37.7
2024-08-26,display,44225.77,7370961,79722.46,36.3
2024-08-26,video_olv,33772.4,2814367,78635.34,36.3
2024-08-26,paid_social,26535.46,3316932,53812.66,36.3
2024-08-26,paid_search,20906.73,6968909,72233.38,36.3
2024-08-26,audio,7236.94,723694,9240.56,36.3
2024-09-02,display,43277.48,7212913,78352.18,35.1
2024-09-02,video_olv,33048.25,2754021,77283.74,35.1
2024-09-02,paid_social,25966.49,3245811,52887.72,35.1
2024-09-02,paid_search,20458.44,6819481,70991.82,35.1
2024-09-02,audio,7081.77,708177,9081.73,35.1
2024-09-09,display,42542.23,7090372,77571.26,34.2
2024-09-09,video_olv,32486.8,2707233,76513.47,34.2
2024-09-09,paid_social,25525.34,3190667,52360.6,34.2
2024-09-09,paid_search,20110.87,6703624,70284.26,34.2
2024-09-09,audio,6961.46,696146,8991.21,34.2
2024-09-16,display,42031.96,7005327,77390.75,33.5
2024-09-16,video_olv,32097.13,2674761,76335.42,33.5
2024-09-16,paid_social,25219.18,3152397,52238.76,33.5
2024-09-16,paid_search,19869.65,6623218,70120.71,33.5
2024-09-16,audio,6877.96,687796,8970.29,33.5
2024-09-23,display,41755.3,6959217,77820.44,33.2
2024-09-23,video_olv,31885.87,2657156,76759.25,33.2
2024-09-23,paid_social,25053.18,3131648,52528.79,33.2
2024-09-23,paid_search,19738.87,6579624,70510.03,33.2
2024-09-23,audio,6832.69,683269,9020.1,33.2
2024-09-30,display,41717.5,6952917,78868.44,33.1
2024-09-30,video_olv,31857.0,2654750,77792.96,33.1
2024-09-30,paid_social,25030.5,3128812,53236.2,33.1
2024-09-30,paid_search,19721.0,6573667,71459.59,33.1
2024-09-30,audio,6826.5,682650,9141.57,33.1
2024-10-07,display,41920.3,6986717,80540.47,33.3
2024-10-07,video_olv,32011.87,2667656,79442.19,33.3
2024-10-07,paid_social,25152.18,3144023,54364.81,33.3
2024-10-07,paid_search,19816.87,6605624,72974.54,33.3
2024-10-07,audio,6859.69,685969,9335.37,33.3
2024-10-14,display,42361.96,7060327,82838.67,33.9
2024-10-14,video_olv,32349.13,2695761,81709.05,33.9
2024-10-14,paid_social,25417.18,3177147,55916.1,33.9
2024-10-14,paid_search,20025.65,6675218,75056.86,33.9
2024-10-14,audio,6931.96,693196,9601.76,33.9
2024-10-21,display,43037.23,7172872,85760.28,34.7
2024-10-21,video_olv,32864.8,2738733,84590.82,34.7
2024-10-21,paid_social,25822.34,3227792,57888.19,34.7
2024-10-21,paid_search,20344.87,6781624,77704.01,34.7
2024-10-21,audio,7042.46,704246,9940.4,34.7
2024-10-28,display,43937.48,7322913,89295.99,35.7
2024-10-28,video_olv,33552.25,2796021,88078.32,35.7
2024-10-28,paid_social,26362.49,3295311,60274.79,35.7
2024-10-28,paid_search,20770.44,6923481,80907.58,35.7
2024-10-28,audio,7189.77,718977,10350.22,35.7
2024-11-04,display,45050.77,7508461,93428.37,37.1
2024-11-04,video_olv,34402.4,2866867,92154.34,37.1
2024-11-04,paid_social,27030.46,3378807,63064.15,37.1
2024-11-04,paid_search,21296.73,7098909,84651.76,37.1
2024-11-04,audio,7371.94,737194,10829.2,37.1
2024-11-11,display,46362.07,7727012,98130.28,38.6
2024-11-11,video_olv,35403.76,2950314,96792.14,38.6
2024-11-11,paid_social,27817.24,3477155,66237.94,38.6
2024-11-11,paid_search,21916.62,7305539,88911.98,38.6
2024-11-11,audio,7586.52,758652,11374.19,38.6
2024-11-18,display,47853.48,7975579,103363.51,40.4
2024-11-18,video_olv,36542.65,3045221,101954.01,40.4
2024-11-18,paid_social,28712.09,3589011,69770.37,40.4
2024-11-18,paid_search,22621.64,7540548,93653.6,40.4
2024-11-18,audio,7830.57,783057,11980.77,40.4
2024-11-25,display,49504.43,8250739,109077.73,42.4
2024-11-25,video_olv,37803.38,3150282,107590.3,42.4
2024-11-25,paid_social,29702.66,3712832,73627.47,42.4
2024-11-25,paid_search,23402.09,7800698,98831.03,42.4
2024-11-25,audio,8100.73,810073,12643.1,42.4
2024-12-02,display,51292.07,8548678,115209.86,44.5
2024-12-02,video_olv,39168.49,3264041,113638.82,44.5
2024-12-02,paid_social,30775.24,3846905,77766.66,44.5
2024-12-02,paid_search,24247.16,8082386,104387.12,44.5
2024-12-02,audio,8393.25,839325,13353.87,44.5
2024-12-09,display,53191.52,8865253,121683.99,46.8
2024-12-09,video_olv,40618.98,3384915,120024.66,46.8
2024-12-09,paid_social,31914.91,3989364,82136.69,46.8
2024-12-09,paid_search,25145.08,8381694,110253.07,46.8
2024-12-09,audio,8704.07,870407,14104.28,46.8
2024-12-16,display,55176.29,9196049,128411.8,49.2
2024-12-16,video_olv,42134.62,3511219,126660.73,49.2
2024-12-16,paid_social,33105.77,4138222,86677.97,49.2
2024-12-16,paid_search,26083.34,8694446,116348.88,49.2
2024-12-16,audio,9028.85,902885,14884.1,49.2
2024-12-23,display,57218.64,9536441,135293.67,51.7
2024-12-23,video_olv,43694.24,3641186,133448.76,51.7
2024-12-23,paid_social,34331.19,4291398,91323.23,51.7
2024-12-23,paid_search,27048.81,9016271,122584.27,51.7
2024-12-23,audio,9363.05,936305,15681.77,51.7
2024-12-30,display,59290.0,9881667,142220.36,54.2
2024-12-30,video_olv,45276.0,3773000,140280.99,54.2
2024-12-30,paid_social,35574.0,4446750,95998.74,54.2
2024-12-30,paid_search,28028.0,9342667,128860.26,54.2
2024-12-30,audio,9702.0,970200,16484.63,54.2
2025-01-06,display,61361.36,10226893,149075.2,56.7
2025-01-06,video_olv,46857.76,3904814,147042.35,56.7
2025-01-06,paid_social,36816.81,4602102,100625.76,56.7
2025-01-06,paid_search,29007.19,9669062,135071.16,56.7
2025-01-06,audio,10040.95,1004095,17279.17,56.7
2025-01-13,display,63403.71,10567285,155736.89,59.1
2025-01-13,video_olv,48417.38,4034781,153613.21,59.1
2025-01-13,paid_social,38042.23,4755278,105122.4,59.1
2025-01-13,paid_search,29972.66,9990887,141107.06,59.1
2025-01-13,audio,10375.15,1037515,18051.32,59.1
2025-01-20,display,65388.48,10898080,162082.62,61.5
2025-01-20,video_olv,49933.02,4161085,159872.41,61.5
2025-01-20,paid_social,39233.09,4904136,109405.77,61.5
2025-01-20,paid_search,30910.92,10303639,146856.68,61.5
2025-01-20,audio,10699.93,1069993,18786.85,61.5
2025-01-27,display,67287.93,11214655,167991.45,63.8
2025-01-27,video_olv,51383.51,4281959,165700.65,63.8
2025-01-27,paid_social,40372.76,5046595,113394.23,63.8
2025-01-27,paid_search,31808.84,10602947,152210.43,63.8
2025-01-27,audio,11010.75,1101075,19471.74,63.8
2025-02-03,display,69075.57,11512595,173347.84,65.9
2025-02-03,video_olv,52748.62,4395718,170984.0,65.9
2025-02-03,paid_social,41445.34,5180668,117009.79,65.9
2025-02-03,paid_search,32653.91,10884635,157063.65,65.9
2025-02-03,audio,11303.27,1130327,20092.59,65.9
2025-02-10,display,70726.52,11787754,178045.2,67.9
2025-02-10,video_olv,54009.35,4500779,175617.31,67.9
2025-02-10,paid_social,42435.91,5304489,120180.51,67.9
2025-02-10,paid_search,33434.36,11144786,161319.74,67.9
2025-02-10,audio,11573.43,1157343,20637.06,67.9
2025-02-17,display,72217.93,12036321,181989.18,69.7
2025-02-17,video_olv,55148.24,4595686,179507.51,69.7
2025-02-17,paid_social,43330.76,5416345,122842.69,69.7
2025-02-17,paid_search,34139.38,11379795,164893.22,69.7
2025-02-17,audio,11817.48,1181748,21094.2,69.7
2025-02-24,display,73529.23,12254872,185100.67,71.3
2025-02-24,video_olv,56149.6,4679133,182576.57,71.3
2025-02-24,paid_social,44117.54,5514693,124942.95,71.3
2025-02-24,paid_search,34759.27,11586425,167712.42,71.3
2025-02-24,audio,12032.06,1203206,21454.85,71.3
2025-03-03,display,74642.52,12440421,187318.33,72.6
2025-03-03,video_olv,56999.75,4749979,184763.99,72.6
2025-03-03,paid_social,44785.51,5598189,126439.87,72.6
2025-03-03,paid_search,35285.56,11761852,169721.76,72.6
2025-03-03,audio,12214.23,1221423,21711.9,72.6
2025-03-10,display,75542.77,12590461,188600.52,73.7
2025-03-10,video_olv,57687.2,4807267,186028.69,73.7
2025-03-10,paid_social,45325.66,5665708,127305.35,73.7
2025-03-10,paid_search,35711.13,11903709,170883.5,73.7
2025-03-10,audio,12361.54,1236154,21860.51,73.7
2025-03-17,display,76218.04,12703007,188926.55,74.5
2025-03-17,video_olv,58202.87,4850239,186350.28,74.5
2025-03-17,paid_social,45730.82,5716353,127525.42,74.5
2025-03-17,paid_search,36030.35,12010115,171178.9,74.5
2025-03-17,audio,12472.04,1247204,21898.3,74.5
2025-03-24,display,76659.7,12776616,188297.23,75.0
2025-03-24,video_olv,58540.13,4878344,185729.54,75.0
2025-03-24,paid_social,45995.82,5749477,127100.63,75.0
2025-03-24,paid_search,36239.13,12079710,170608.71,75.0
2025-03-24,audio,12544.31,1254431,21825.36,75.0
2025-03-31,display,76862.5,12810417,186734.67,75.2
2025-03-31,video_olv,58695.0,4891250,184188.28,75.2
2025-03-31,paid_social,46117.5,5764688,126045.9,75.2
2025-03-31,paid_search,36335.0,12111667,169192.93,75.2
2025-03-31,audio,12577.5,1257750,21644.25,75.2
2025-04-07,display,76824.7,12804116,184281.26,75.1
2025-04-07,video_olv,58666.13,4888844,181768.33,75.1
2025-04-07,paid_social,46094.82,5761852,124389.85,75.1
2025-04-07,paid_search,36317.13,12105710,166969.99,75.1
2025-04-07,audio,12571.31,1257131,21359.87,75.1
2025-04-14,display,76548.04,12758007,180998.09,74.8
2025-04-14,video_olv,58454.87,4871239,178529.94,74.8
2025-04-14,paid_social,45928.82,5741103,122173.71,74.8
2025-04-14,paid_search,36186.35,12062115,163995.24,74.8
2025-04-14,audio,12526.04,1252604,20979.32,74.8
2025-04-21,display,76037.77,12672961,176962.72,74.1
2025-04-21,video_olv,58065.2,4838767,174549.6,74.1
2025-04-21,paid_social,45622.66,5702833,119449.84,74.1
2025-04-21,paid_search,35945.13,11981709,160338.95,74.1
2025-04-21,audio,12442.54,1244254,20511.59,74.1
2025-04-28,display,75302.52,12550421,172266.4,73.2
2025-04-28,video_olv,57503.75,4791979,169917.32,73.2
2025-04-28,paid_social,45181.51,5647689,116279.82,73.2
2025-04-28,paid_search,35597.56,11865852,156083.8,73.2
2025-04-28,audio,12322.23,1232223,19967.24,73.2
2025-05-05,display,74354.23,12392372,167011.03,72.1
2025-05-05,video_olv,56779.6,4731633,164733.61,72.1
2025-05-05,paid_social,44612.54,5576568,112732.45,72.1
2025-05-05,paid_search,35149.27,11716425,151322.12,72.1
2025-05-05,audio,12167.06,1216706,19358.1,72.1
2025-05-12,display,73207.93,12201321,161305.85,70.7
2025-05-12,video_olv,55904.24,4658686,159106.22,70.7
2025-05-12,paid_social,43924.76,5490595,108881.45,70.7
2025-05-12,paid_search,34607.38,11535795,146152.88,70.7
2025-05-12,audio,11979.48,1197948,18696.81,70.7
2025-05-19,display,71881.52,11980254,155264.09,69.0
2025-05-19,video_olv,54891.35,4574279,153146.85,69.0
2025-05-19,paid_social,43128.91,5391114,104803.26,69.0
2025-05-19,paid_search,33980.36,11326786,140678.68,69.0
2025-05-19,audio,11762.43,1176243,17996.52,69.0
2025-05-26,display,70395.57,11732595,148999.74,67.2
2025-05-26,video_olv,53756.62,4479718,146967.92,67.2
2025-05-26,paid_social,42237.34,5279668,100574.82,67.2
2025-05-26,paid_search,33277.91,11092635,135002.79,67.2
2025-05-26,audio,11519.27,1151927,17270.42,67.2
2025-06-02,display,68772.93,11462155,142624.5,65.2
2025-06-02,video_olv,52517.51,4376459,140679.62,65.2
2025-06-02,paid_social,41263.76,5157970,96271.53,65.2
2025-06-02,paid_search,32510.84,10836947,129226.44,65.2
2025-06-02,audio,11253.75,1125375,16531.48,65.2
2025-06-09,display,67038.48,11173080,136245.14,63.1
2025-06-09,video_olv,51193.02,4266085,134387.25,63.1
2025-06-09,paid_social,40223.09,5027886,91965.47,63.1
2025-06-09,paid_search,31690.92,10563639,123446.35,63.1
2025-06-09,audio,10969.93,1096993,15792.05,63.1
2025-06-16,display,65218.71,10869785,129961.3,60.9
2025-06-16,video_olv,49803.38,4150281,128189.1,60.9
2025-06-16,paid_social,39131.23,4891403,87723.88,60.9
2025-06-16,paid_search,30830.66,10276887,117752.81,60.9
2025-06-16,audio,10672.15,1067215,15063.7,60.9
2025-06-23,display,63341.36,10556893,123863.81,58.6
2025-06-23,video_olv,48369.76,4030814,122174.76,58.6
2025-06-23,paid_social,38004.81,4750602,83608.07,58.6
2025-06-23,paid_search,29943.19,9981062,112228.12,58.6
2025-06-23,audio,10364.95,1036495,14356.94,58.6
2025-06-30,display,61435.0,10239167,118033.58,56.2
2025-06-30,video_olv,46914.0,3909500,116424.03,56.2
2025-06-30,paid_social,36861.0,4607625,79672.67,56.2
2025-06-30,paid_search,29042.0,9680667,106945.58,56.2
2025-06-30,audio,10053.0,1005300,13681.17,56.2
2025-07-07,display,59528.64,9921441,112541.05,53.9
2025-07-07,video_olv,45458.24,3788186,111006.4,53.9
2025-07-07,paid_social,35717.19,4464648,75965.21,53.9
2025-07-07,paid_search,28140.81,9380271,101969.02,53.9
2025-07-07,audio,9741.05,974105,13044.53,53.9
2025-07-14,display,57651.29,9608549,107446.2,51.6
2025-07-14,video_olv,44024.62,3668719,105981.02,51.6
2025-07-14,paid_social,34590.77,4323847,72526.18,51.6
2025-07-14,paid_search,27253.34,9084446,97352.77,51.6
2025-07-14,audio,9433.85,943385,12453.99,51.6
2025-07-21,display,55831.52,9305253,102798.99,49.4
2025-07-21,video_olv,42634.98,3552915,101397.19,49.4
2025-07-21,paid_social,33498.91,4187364,69389.32,49.4
2025-07-21,paid_search,26393.08,8797694,93142.12,49.4
2025-07-21,audio,9136.07,913607,11915.34,49.4
2025-07-28,display,54097.07,9016178,98640.28,47.3
2025-07-28,video_olv,41310.49,3442541,97295.18,47.3
2025-07-28,paid_social,32458.24,4057280,66582.19,47.3
2025-07-28,paid_search,25573.16,8524386,89374.07,47.3
2025-07-28,audio,8852.25,885225,11433.3,47.3
2025-08-04,display,52474.43,8745739,95002.91,45.3
2025-08-04,video_olv,40071.38,3339282,93707.41,45.3
2025-08-04,paid_social,31484.66,3935582,64126.96,45.3
2025-08-04,paid_search,24806.09,8268698,86078.39,45.3
2025-08-04,audio,8586.73,858673,11011.7,45.3
2025-08-11,display,50988.48,8498079,91913.09,43.5
2025-08-11,video_olv,38936.65,3244721,90659.73,43.5
2025-08-11,paid_social,30593.09,3824136,62041.34,43.5
2025-08-11,paid_search,24103.64,8034548,83278.83,43.5
2025-08-11,audio,8343.57,834357,10653.56,43.5
2025-08-18,display,49662.07,8277012,89391.73,41.8
2025-08-18,video_olv,37923.76,3160314,88172.75,41.8
2025-08-18,paid_social,29797.24,3724655,60339.42,41.8
2025-08-18,paid_search,23476.62,7825539,80994.33,41.8
2025-08-18,audio,8126.52,812652,10361.31,41.8
2025-08-25,display,48515.77,8085961,87455.72,40.4
2025-08-25,video_olv,37048.4,3087367,86263.15,40.4
2025-08-25,paid_social,29109.46,3638682,59032.61,40.4
2025-08-25,paid_search,22934.73,7644909,79240.19,40.4
2025-08-25,audio,7938.94,793894,10136.91,40.4
2025-09-01,display,47567.48,7927913,86119.06,39.3
2025-09-01,video_olv,36324.25,3027021,84944.71,39.3
2025-09-01,paid_social,28540.49,3567561,58130.36,39.3
2025-09-01,paid_search,22486.44,7495481,78029.08,39.3
2025-09-01,audio,7783.77,778377,9981.98,39.3
2025-09-08,display,46832.23,7805372,85393.62,38.3
2025-09-08,video_olv,35762.8,2980233,84229.16,38.3
2025-09-08,paid_social,28099.34,3512417,57640.69,38.3
2025-09-08,paid_search,22138.87,7379624,77371.79,38.3
2025-09-08,audio,7663.46,766346,9897.9,38.3
2025-09-15,display,46321.96,7720327,85289.65,37.7
2025-09-15,video_olv,35373.13,2947761,84126.61,37.7
2025-09-15,paid_social,27793.18,3474147,57570.52,37.7
2025-09-15,paid_search,21897.65,7299218,77277.59,37.7
2025-09-15,audio,7579.96,757996,9885.85,37.7
2025-09-22,display,46045.3,7674217,85815.82,37.3
2025-09-22,video_olv,35161.87,2930156,84645.6,37.3
2025-09-22,paid_social,27627.18,3453398,57925.68,37.3
2025-09-22,paid_search,21766.87,7255624,77754.33,37.3
2025-09-22,audio,7534.69,753469,9946.83,37.3
2025-09-29,display,46007.5,7667917,86978.84,37.3
2025-09-29,video_olv,35133.0,2927750,85792.77,37.3
2025-09-29,paid_social,27604.5,3450562,58710.72,37.3
2025-09-29,paid_search,21749.0,7249667,78808.1,37.3
2025-09-29,audio,7528.5,752850,10081.64,37.3
2025-10-06,display,46210.3,7701717,88782.74,37.5
2025-10-06,video_olv,35287.87,2940656,87572.07,37.5
2025-10-06,paid_social,27726.18,3465773,59928.35,37.5
2025-10-06,paid_search,21844.87,7281624,80442.54,37.5
2025-10-06,audio,7561.69,756169,10290.73,37.5
2025-10-13,display,46651.96,7775327,91227.75,38.0
2025-10-13,video_olv,35625.13,2968761,89983.74,38.0
2025-10-13,paid_social,27991.18,3498897,61578.73,38.0
2025-10-13,paid_search,22053.65,7351218,82657.87,38.0
2025-10-13,audio,7633.96,763396,10574.13,38.0
2025-10-20,display,47327.23,7887872,94308.96,38.8
2025-10-20,video_olv,36140.8,3011733,93022.93,38.8
2025-10-20,paid_social,28396.34,3549542,63658.55,38.8
2025-10-20,paid_search,22372.87,7457624,85449.63,38.8
2025-10-20,audio,7744.46,774446,10931.27,38.8
2025-10-27,display,48227.48,8037913,98014.74,39.9
2025-10-27,video_olv,36828.25,3069021,96678.17,39.9
2025-10-27,paid_social,28936.49,3617061,66159.95,39.9
2025-10-27,paid_search,22798.44,7599481,88807.29,39.9
2025-10-27,audio,7891.77,789177,11360.8,39.9
2025-11-03,display,49340.77,8223461,102325.17,41.2
2025-11-03,video_olv,37678.4,3139867,100929.83,41.2
